organisation,fqdn,is_expired,not_valid_before,not_valid_after,san_dns_names,subject_dn,issuer_dn,common_names,ip,prefix,asn,asn_description,last_update_asn,last_update_asn_desc,country,registrar
Gemeente s-Hertogenbosch,mijnuitkering.s-hertogenbosch.nl,Yes,2021-12-02T13:50:02,2022-12-04T13:50:02,mijnuitkering.s-hertogenbosch.nl,"CN=mijnuitkering.s-hertogenbosch.nl,2.5.4.5=00000001001709124000,O=Gemeente s-Hertogenbosch,L=s-Hertogenbosch,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnuitkering.s-hertogenbosch.nl,213.207.70.230,213.207.64.0/18,9150,"INTERCONNECT Interconnect Services BV, NL",2005-03-30,1999-01-12,NL,ripencc
Halte werk,mijnoverzicht.haltewerk.nl,Yes,2021-11-12T13:10:21,2022-12-04T13:10:21,mijnoverzicht.haltewerk.nl,"CN=mijnoverzicht.haltewerk.nl,2.5.4.5=00000001854645895000,O=Halte werk,L=Alkmaar,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnoverzicht.haltewerk.nl,194.53.73.125,194.53.72.0/22,28878,"SIGNET-AS, NL",1993-07-19,2003-03-25,NL,ripencc
Halte werk,mijnzaken.haltewerk.nl,Yes,2022-03-01T15:00:08,2022-12-04T15:00:08,mijnzaken.haltewerk.nl,"CN=mijnzaken.haltewerk.nl,O=Halte werk,L=Alkmaar,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnzaken.haltewerk.nl,18.158.109.140,18.156.0.0/14,16509,"AMAZON-02, US",2019-10-07,2000-05-04,US,arin
Hoge Raad der Nederlanden,repos.hogeraad.nl,Yes,2021-12-23T10:23:32,2022-12-05T00:00:00,repos.hogeraad.nl,"CN=repos.hogeraad.nl,O=Hoge Raad der Nederlanden,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",repos.hogeraad.nl,159.46.204.230,159.46.204.0/22,29311,"SOLVINITY-, NL",1993-09-01,2003-07-29,NL,ripencc
Intergemeentelijke Sociale Dienst (ISD) Bollenstreek,mijnloket.isdbollenstreek.nl,Yes,2022-03-17T13:40:21,2022-12-04T13:40:21,Mijnloket.isdbollenstreek.nl,"CN=Mijnloket.isdbollenstreek.nl,2.5.4.5=00000001810562376000,O=Intergemeentelijke Sociale Dienst (ISD) Bollenstreek,L=Lisse,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",Mijnloket.isdbollenstreek.nl,93.154.102.218,93.154.0.0/17,1136,"KPN KPN National, NL",2011-08-31,1993-09-01,NL,ripencc
KPN B.V.,disc.eid-pp.kpn.com,Yes,2022-03-28T09:45:28,2022-12-04T09:45:28,disc.eid-pp.kpn.com,"CN=disc.eid-pp.kpn.com,2.5.4.5=00000003271247010000,O=KPN B.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",disc.eid-pp.kpn.com,145.222.106.249,145.222.0.0/16,21286,"KPN-CORPORATE-MARKET, NL",2002-10-09,2001-10-16,NL,ripencc
KPN B.V.,dvza-o.login.healthexchange.nl,Yes,2022-04-11T13:50:43,2022-12-04T13:50:43,dvza-o.login.healthexchange.nl,"CN=dvza-o.login.healthexchange.nl,O=KPN B.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",dvza-o.login.healthexchange.nl,217.149.65.247,217.149.64.0/20,15879,"KPN-INTERNEDSERVICES KPN Internedservices, NL",2001-03-12,2000-10-26,NL,ripencc
Kamer van Koophandel,ontwikkelplein.kvk.nl,Yes,2022-01-05T10:26:03,2022-12-05T00:00:00,ontwikkelplein.kvk.nl,"CN=ontwikkelplein.kvk.nl,O=Kamer van Koophandel,L=Utrecht,ST=Utrecht,C=NL,2.5.4.5=00000001006033404000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",ontwikkelplein.kvk.nl,78.31.115.209,78.31.115.0/24,20559,"FUNDAMENTS-AS, NL",2007-11-09,2015-08-13,NL,ripencc
KnowL Solutions B.V.,mijn.medsafe.io,Yes,2022-04-13T14:10:02,2022-12-04T14:10:02,mijn.medsafe.io,"CN=mijn.medsafe.io,2.5.4.5=00000003606011400000,O=KnowL Solutions B.V.,L=Voorschoten,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijn.medsafe.io,20.160.218.3,20.160.0.0/12,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2017-02-22,1997-03-31,US,arin
Koninklijke KPN N.V.,kpngeofiberprod.kpn.com,Yes,2022-03-14T13:10:02,2022-12-04T13:10:02,kpngeofiberprod.kpn.com,"CN=kpngeofiberprod.kpn.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",kpngeofiberprod.kpn.com,62.12.14.184,62.12.0.0/19,1136,"KPN KPN National, NL",1997-05-15,1993-09-01,NL,ripencc
Koninklijke KPN N.V.,geosservicesacc.kpn.com,Yes,2022-03-14T13:50:02,2022-12-04T13:50:02,GeosServicesAcc.kpn.com,"CN=GeosServicesAcc.kpn.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",GeosServicesAcc.kpn.com,195.121.103.140,195.121.64.0/18,8737,"PT, NL",1999-01-11,1998-03-31,NL,ripencc
Koninklijke KPN N.V.,ticket.kpncareportal.com,Yes,2022-03-15T13:50:02,2022-12-04T13:50:02,ticket.kpncareportal.com,"CN=ticket.kpncareportal.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",ticket.kpncareportal.com,212.1.25.156,212.1.0.0/19,3257,"GTT-BACKBONE GTT, US",1998-03-12,1994-09-30,US,ripencc
Koninklijke KPN N.V.,ticketreport.kpncareportal.com,Yes,2022-03-15T13:50:09,2022-12-04T13:50:09,ticketreport.kpncareportal.com,"CN=ticketreport.kpncareportal.com,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",ticketreport.kpncareportal.com,212.1.25.149,212.1.0.0/19,3257,"GTT-BACKBONE GTT, US",1998-03-12,1994-09-30,US,ripencc
Koninklijke KPN N.V.,wv-upgrade.wxs.nl,Yes,2022-06-10T14:30:48,2022-12-04T14:30:48,wv-upgrade.wxs.nl,"CN=wv-upgrade.wxs.nl,2.5.4.5=00000003020452000000,O=Koninklijke KPN N.V.,L=Rotterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",wv-upgrade.wxs.nl,195.121.120.236,195.121.64.0/18,8737,"PT, NL",1999-01-11,1998-03-31,NL,ripencc
Ministerie van Defensie,leeromgeving.kustwacht.nl,Yes,2022-05-05T13:20:18,2022-12-04T13:20:18,leeromgeving.kustwacht.nl,"CN=leeromgeving.kustwacht.nl,O=Ministerie van Defensie,L=Den Haag,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",leeromgeving.kustwacht.nl,20.82.38.40,20.64.0.0/10,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2017-10-18,1997-03-31,US,arin
Ministerie van Infrastructuur en Waterstaat,www.nationaalovberaad.nl,Yes,2021-06-22T08:16:20,2022-07-16T00:00:00,"nationaalovberaad.nl,www.nationaalovberaad.nl","CN=nationaalovberaad.nl,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001003214321000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",nationaalovberaad.nl,5.22.248.122,5.22.248.0/21,39704,"CJ2-AS, NL",2012-05-04,2006-04-12,NL,ripencc
Ministerie van Infrastructuur en Waterstaat,dp2022.deltaprogramma.nl,Yes,2021-09-15T08:17:31,2022-09-15T08:27:00,dp2022.deltaprogramma.nl,"CN=dp2022.deltaprogramma.nl,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001003214321000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",dp2022.deltaprogramma.nl,46.182.180.88,46.182.180.0/23,12859,"NL-BIT BIT BV, NL",2010-11-26,1999-12-15,NL,ripencc
Ministerie van Infrastructuur en Waterstaat,euwijzer.waterenklimaat.nl,Yes,2021-12-08T13:25:31,2022-12-05T00:00:00,euwijzer.waterenklimaat.nl,"CN=euwijzer.waterenklimaat.nl,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001003214321000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",euwijzer.waterenklimaat.nl,83.149.93.214,83.149.64.0/18,60781,"LEASEWEB-NL-AMS-01 Netherlands, NL",2004-03-09,2013-05-13,NL,ripencc
Ministerie van Infrastructuur en Waterstaat,www.nationaleconferentiecirculaireeconomie.nl,Yes,2021-12-27T10:17:56,2022-12-05T00:00:00,"www.nationaleconferentiecirculaireeconomie.nl,nationaleconferentiecirculaireeconomie.nl","CN=www.nationaleconferentiecirculaireeconomie.nl,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001003214321000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",www.nationaleconferentiecirculaireeconomie.nl,178.22.62.114,178.22.56.0/21,12859,"NL-BIT BIT BV, NL",2010-04-01,1999-12-15,NL,ripencc
Ministerie van Justitie en Veiligheid,malwarelab.nl,Yes,2021-11-24T15:00:03,2022-11-27T15:00:03,malwarelab.nl,"CN=malwarelab.nl,O=Ministerie van Justitie en Veiligheid,L='s-Gravenhage,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",malwarelab.nl,95.214.18.244,95.214.18.0/24,35709,"TRIX, NL",2018-12-21,2018-12-21,NL,ripencc
Ministerie van Justitie en Veiligheid,metrics.justitieconnect.nl,Yes,2022-03-07T10:14:11,2022-12-05T00:00:00,metrics.justitieconnect.nl,"CN=metrics.justitieconnect.nl,O=Ministerie van Justitie en Veiligheid,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001003214436000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",metrics.justitieconnect.nl,159.46.196.78,159.46.196.0/22,29311,"SOLVINITY-, NL",1993-09-01,2003-07-29,NL,ripencc
"Ministerie van Volksgezondheid\, Welzijn en Sport",magazines.voordejeugd.nl,Yes,2021-12-03T08:40:03,2022-12-04T08:40:03,"magazines.voordejeugd.nl,www.magazines.voordejeugd.nl","CN=magazines.voordejeugd.nl,O=Ministerie van Volksgezondheid\, Welzijn en Sport,L='s-Gravenhage,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",magazines.voordejeugd.nl,34.91.151.1,34.91.144.0/20,396982,"GOOGLE-CLOUD-PLATFORM, US",2018-09-28,2018-08-15,US,arin
"Ministerie van Volksgezondheid\, Welzijn en Sport",productie.coronamelder-dist.nl,Yes,2022-08-23T11:20:02,2022-12-04T11:20:02,productie.coronamelder-dist.nl,"CN=productie.coronamelder-dist.nl,O=Ministerie van Volksgezondheid\, Welzijn en Sport,L='s-Gravenhage,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",productie.coronamelder-dist.nl,62.204.67.24,62.204.64.0/20,41887,"PROLOCATION Prolocation, NL",2000-06-22,2006-11-09,NL,ripencc
Onderwijsgroep Tilburg,id.onderwijsgroeptilburg.nl,Yes,2021-11-30T12:10:02,2022-12-04T12:10:02,id.onderwijsgroeptilburg.nl,"CN=id.onderwijsgroeptilburg.nl,2.5.4.5=00000003410974080000,O=Onderwijsgroep Tilburg,L=Tilburg,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",id.onderwijsgroeptilburg.nl,89.146.41.62,89.146.0.0/18,28685,"ASN-ROUTIT, NL",2006-02-02,2003-01-29,NL,ripencc
Onderwijsgroep Tilburg,ondertekenen.onderwijsgroeptilburg.nl,Yes,2021-11-30T12:10:12,2022-12-04T12:10:12,ondertekenen.onderwijsgroeptilburg.nl,"CN=ondertekenen.onderwijsgroeptilburg.nl,2.5.4.5=00000003410974080000,O=Onderwijsgroep Tilburg,L=Tilburg,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",ondertekenen.onderwijsgroeptilburg.nl,83.96.205.231,83.96.204.0/22,35470,"XL-AS, NL",2003-12-18,2006-11-29,NL,ripencc
Onderwijsgroep Tilburg,connect-with.onderwijsgroeptilburg.nl,Yes,2021-11-24T13:40:16,2022-12-04T13:40:16,connect-with.onderwijsgroeptilburg.nl,"CN=connect-with.onderwijsgroeptilburg.nl,2.5.4.5=00000003410974080000,O=Onderwijsgroep Tilburg,L=Tilburg,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",connect-with.onderwijsgroeptilburg.nl,83.96.205.231,83.96.128.0/17,21155,"ASN-PROSERVE Amsterdam, NL",2003-12-18,2001-09-11,NL,ripencc
OneWelcome B.V.,eh01.iwelcome.nl,Yes,2022-02-18T12:54:25,2022-12-05T00:00:00,"eh01.iwelcome.nl,eh02.iwelcome.nl","CN=eh01.iwelcome.nl,O=OneWelcome B.V.,L=Amersfoort,ST=Utrecht,C=NL,2.5.4.5=00000003520354760000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",eh01.iwelcome.nl,13.248.206.174,13.248.192.0/20,16509,"AMAZON-02, US",2018-07-11,2000-05-04,US,arin
Openbaar Ministerie,media.om.nl,Yes,2022-07-07T12:13:32,2022-12-05T00:00:00,media.om.nl,"CN=media.om.nl,O=Openbaar Ministerie,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000004000000034000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",media.om.nl,159.46.194.54,159.46.192.0/22,29311,"SOLVINITY-, NL",1993-09-01,2003-07-29,NL,ripencc
PharmaPartners B.V.,home.mijngezondheid.net,Yes,2021-12-10T09:25:05,2022-12-05T00:00:00,home.mijngezondheid.net,"CN=home.mijngezondheid.net,O=PharmaPartners B.V.,L=Oosterhout,ST=Noord-Brabant,C=NL,2.5.4.5=00000003514947520000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",home.mijngezondheid.net,178.22.59.128,178.22.56.0/21,12859,"NL-BIT BIT BV, NL",2010-04-01,1999-12-15,NL,ripencc
Provincie Limburg,mijnsubsidies-api.limburg.nl,Yes,2022-04-20T13:10:41,2022-12-04T13:10:41,mijnsubsidies-api.limburg.nl,"CN=mijnsubsidies-api.limburg.nl,2.5.4.5=00000001001737430000,O=Provincie Limburg,L=Maastricht,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijnsubsidies-api.limburg.nl,185.92.61.41,185.92.60.0/22,200428,"SOUTHERNHILL, NL",2015-03-17,2015-07-06,NL,ripencc
Provincie Limburg,sbl-api.limburg.nl,Yes,2022-04-20T13:20:02,2022-12-04T13:20:02,sbl-api.limburg.nl,"CN=sbl-api.limburg.nl,2.5.4.5=00000001001737430000,O=Provincie Limburg,L=Maastricht,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",sbl-api.limburg.nl,185.92.61.41,185.92.60.0/22,200428,"SOUTHERNHILL, NL",2015-03-17,2015-07-06,NL,ripencc
Provincie Utrecht,zaaksysteem.provincie-utrecht.nl,Yes,2022-07-26T10:38:02,2022-12-05T00:00:00,zaaksysteem.provincie-utrecht.nl,"CN=zaaksysteem.provincie-utrecht.nl,O=Provincie Utrecht,L=Utrecht,ST=Utrecht,C=NL,2.5.4.5=00000003302771720000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",zaaksysteem.provincie-utrecht.nl,18.158.109.140,18.156.0.0/14,16509,"AMAZON-02, US",2019-10-07,2000-05-04,US,arin
Rijksoverheid,api.subscribe.platformrijksoverheid.nl,Yes,2022-08-09T11:02:48,2022-12-05T00:00:00,api.subscribe.platformrijksoverheid.nl,"CN=api.subscribe.platformrijksoverheid.nl,O=Rijksoverheid,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",api.subscribe.platformrijksoverheid.nl,195.137.215.152,195.137.214.0/23,15830,"EQUINIX, GB",2003-08-01,2000-10-20,NL,ripencc
Rijksoverheid,downloads.persberichten.rijksoverheid.nl,Yes,2022-08-09T11:03:20,2022-12-05T00:00:00,downloads.persberichten.rijksoverheid.nl,"CN=downloads.persberichten.rijksoverheid.nl,O=Rijksoverheid,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",downloads.persberichten.rijksoverheid.nl,195.137.215.152,195.137.214.0/23,15830,"EQUINIX, GB",2003-08-01,2000-10-20,NL,ripencc
Rijksoverheid,image.mailing.rijksoverheid.nl,Yes,2022-08-09T11:03:55,2022-12-05T00:00:00,image.mailing.rijksoverheid.nl,"CN=image.mailing.rijksoverheid.nl,O=Rijksoverheid,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",image.mailing.rijksoverheid.nl,13.227.219.116,13.227.216.0/21,16509,"AMAZON-02, US",2019-10-01,2000-05-04,US,arin
Rijksoverheid,onderzoek.rijksoverheid.nl,Yes,2022-08-09T11:01:05,2022-12-05T00:00:00,onderzoek.rijksoverheid.nl,"CN=onderzoek.rijksoverheid.nl,O=Rijksoverheid,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",onderzoek.rijksoverheid.nl,37.97.241.27,37.97.128.0/17,20857,"TRANSIP-AS Amsterdam, the Netherlands, NL",2012-02-02,2001-06-20,NL,ripencc
Rijksoverheid,rss.persberichten.rijksoverheid.nl,Yes,2022-08-09T11:04:33,2022-12-05T00:00:00,rss.persberichten.rijksoverheid.nl,"CN=rss.persberichten.rijksoverheid.nl,O=Rijksoverheid,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",rss.persberichten.rijksoverheid.nl,195.137.215.152,195.137.214.0/23,15830,"EQUINIX, GB",2003-08-01,2000-10-20,NL,ripencc
Rijksoverheid,subscribe.platformrijksoverheid.nl,Yes,2022-08-09T11:04:57,2022-12-05T00:00:00,subscribe.platformrijksoverheid.nl,"CN=subscribe.platformrijksoverheid.nl,O=Rijksoverheid,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",subscribe.platformrijksoverheid.nl,195.137.215.152,195.137.214.0/23,15830,"EQUINIX, GB",2003-08-01,2000-10-20,NL,ripencc
Rijkswaterstaat,www.ikpasophetwad.nl,Yes,2020-09-25T10:25:13,2021-03-22T00:00:00,"ikpasophetwad.nl,www.ikpasophetwad.nl","CN=ikpasophetwad.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001821699180000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",ikpasophetwad.nl,169.50.183.117,169.50.128.0/18,36351,"SOFTLAYER, US",1993-09-01,2005-12-12,US,ripencc
Rijkswaterstaat,aimonline.nl,Yes,2021-12-18T13:24:13,2022-12-05T00:00:00,"aimonline.nl,www.aimonline.nl","CN=aimonline.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001821699180000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",aimonline.nl,104.40.158.55,104.40.0.0/13,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",2014-05-07,1997-03-31,US,arin
Rijkswaterstaat,www.duurzaamheidsroutea35.nl,Yes,2022-03-03T09:49:54,2022-12-05T00:00:00,"www.duurzaamheidsroutea35.nl,duurzaamheidsroutea35.nl","CN=www.duurzaamheidsroutea35.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001821699180000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",www.duurzaamheidsroutea35.nl,5.22.248.122,5.22.248.0/21,39704,"CJ2-AS, NL",2012-05-04,2006-04-12,NL,ripencc
Rijkswaterstaat,www.krmrapportagetool.nl,Yes,2022-01-14T12:01:12,2022-12-05T00:00:00,www.krmrapportagetool.nl,"CN=www.krmrapportagetool.nl,O=Rijkswaterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000001821699180000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",www.krmrapportagetool.nl,83.96.201.49,83.96.200.0/22,35470,"XL-AS, NL",2003-12-18,2006-11-29,NL,ripencc
Speer IT B.V.,login.klicon.nl,Yes,2020-12-08T14:30:21,2021-12-08T14:30:21,login.klicon.nl,"CN=login.klicon.nl,2.5.4.5=00000003320768440000,O=Speer IT B.V.,L=Baarn,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",login.klicon.nl,82.94.168.209,82.92.0.0/14,3265,"XS4ALL-NL Amsterdam, NL",2003-11-25,1994-10-25,NL,ripencc
Stichting Administratief Gemak,inlog.werkgeversportalen.nl,Yes,2022-05-18T08:44:41,2022-12-05T00:00:00,inlog.werkgeversportalen.nl,"CN=inlog.werkgeversportalen.nl,O=Stichting Administratief Gemak,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000003582810880000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",inlog.werkgeversportalen.nl,212.159.226.167,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",2000-08-03,2003-05-22,NL,ripencc
Stichting Bedrijfspensioenfonds voor de Koopvaardij,inlog.kvdportaal.nl,Yes,2022-03-08T09:04:23,2022-12-05T00:00:00,inlog.kvdportaal.nl,"CN=inlog.kvdportaal.nl,O=Stichting Bedrijfspensioenfonds voor de Koopvaardij,L=Hoofddorp,ST=Noord-Holland,C=NL,2.5.4.5=00000003411995790000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",inlog.kvdportaal.nl,212.159.226.167,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",2000-08-03,2003-05-22,NL,ripencc
Stichting Bedrijfspensioenfonds voor de Koopvaardij,inlog.mijnkoopvaardij.nl,Yes,2022-03-31T12:24:21,2022-12-05T00:00:00,inlog.mijnkoopvaardij.nl,"CN=inlog.mijnkoopvaardij.nl,O=Stichting Bedrijfspensioenfonds voor de Koopvaardij,L=Hoofddorp,ST=Noord-Holland,C=NL,2.5.4.5=00000003411995790000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",inlog.mijnkoopvaardij.nl,212.159.226.167,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",2000-08-03,2003-05-22,NL,ripencc
Stichting BovenIJ,mijn.bovenij.nl,Yes,2022-02-16T10:09:58,2022-12-05T00:00:00,mijn.bovenij.nl,"CN=mijn.bovenij.nl,O=Stichting BovenIJ,L=Amsterdam,ST=Noord-Holland,C=NL,2.5.4.5=00000003412004280000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",mijn.bovenij.nl,85.90.80.99,85.90.64.0/19,1126,"VANCIS Vancis Advanced ICT Services, EU",2004-11-08,1993-09-01,NL,ripencc
Stichting Gereformeerde Scholengroep,connect-with.rocmensoalting.nl,Yes,2022-06-08T13:20:07,2022-12-04T13:20:07,connect-with.rocmensoalting.nl,"CN=connect-with.rocmensoalting.nl,2.5.4.5=00000003011235280000,O=Stichting Gereformeerde Scholengroep,L=Groningen,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",connect-with.rocmensoalting.nl,83.96.205.231,83.96.204.0/22,35470,"XL-AS, NL",2003-12-18,2006-11-29,NL,ripencc
Stichting Gereformeerde Scholengroep,ondertekenen.rocmensoalting.nl,Yes,2022-06-08T13:20:12,2022-12-04T13:20:12,ondertekenen.rocmensoalting.nl,"CN=ondertekenen.rocmensoalting.nl,2.5.4.5=00000003011235280000,O=Stichting Gereformeerde Scholengroep,L=Groningen,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",ondertekenen.rocmensoalting.nl,83.96.205.231,83.96.204.0/22,35470,"XL-AS, NL",2003-12-18,2006-11-29,NL,ripencc
Stichting ICTU,aselect.inspectieruimte.nl,Yes,2022-02-10T12:41:25,2022-12-05T00:00:00,aselect.inspectieruimte.nl,"CN=aselect.inspectieruimte.nl,O=Stichting ICTU,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000003271987420000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",aselect.inspectieruimte.nl,87.213.81.8,87.213.0.0/16,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",2005-06-02,2000-03-27,NL,ripencc
Stichting ICTU,www.inspectieruimte.nl,Yes,2022-02-11T08:35:14,2022-12-05T00:00:00,www.inspectieruimte.nl,"CN=www.inspectieruimte.nl,O=Stichting ICTU,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000003271987420000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",www.inspectieruimte.nl,87.213.81.8,87.213.0.0/16,13127,"T-MOBILE AS for the Trans-European T-Mobile IP Transport backbone, NL",2005-06-02,2000-03-27,NL,ripencc
Stichting Medisch Centrum Boerhaave,mijn.boerhaave.nl,Yes,2021-12-03T13:40:02,2022-12-04T13:40:02,mijn.boerhaave.nl,"CN=mijn.boerhaave.nl,2.5.4.5=00000003412146320000,O=Stichting Medisch Centrum Boerhaave,L=Amsterdam,C=NL","CN=KPN PKIoverheid Server CA 2020,O=KPN B.V.,C=NL",mijn.boerhaave.nl,46.244.5.100,46.244.0.0/19,51088,"A2B, NL",2010-12-28,2010-05-28,NL,ripencc
Stichting Pensioenfonds Metaal en Techniek,inlog.mijnpmt.nl,Yes,2022-03-31T13:08:58,2022-12-05T00:00:00,inlog.mijnpmt.nl,"CN=inlog.mijnpmt.nl,O=Stichting Pensioenfonds Metaal en Techniek,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=00000003411495690000","CN=QuoVadis PKIoverheid Server CA 2020,O=QuoVadis Trustlink B.V.,C=NL",inlog.mijnpmt.nl,212.159.226.167,212.159.224.0/19,29063,"ATOS-NL-AS Eindhoven, NL",2000-08-03,2003-05-22,NL,ripencc
