organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
,ondertekenen.horizoncollege.nl,83.96.205.231,ondertekenen.horizoncollege.nl,2022-11-21T14:11:00,2023-11-21T14:05:00,35470,"XL-AS, NL",NL,ripencc,2003-12-18,2006-11-29,"CN=ondertekenen.horizoncollege.nl,O=Stichting R.O.C. Noord-Kennemerland/West Friesland,L=Alkmaar,ST=Noord-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",ondertekenen.horizoncollege.nl
,connect-with.horizoncollege.nl,83.96.205.231,connect-with.horizoncollege.nl,2022-11-21T14:12:50,2023-11-21T14:07:00,35470,"XL-AS, NL",NL,ripencc,2003-12-18,2006-11-29,"CN=connect-with.horizoncollege.nl,O=Stichting R.O.C. Noord-Kennemerland/West Friesland,L=Alkmaar,ST=Noord-Holland,C=NL","CN=QuoVadis Global SSL ICA G2,O=QuoVadis Limited,C=BM",connect-with.horizoncollege.nl
,accaanvraag.senzer.nl,194.53.75.202,accaanvraag.senzer.nl,2022-11-22T14:20:43,2023-11-22T14:20:43,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=accaanvraag.senzer.nl,C=NL,ST=Noord-Brabant,L=Helmond,O=Senzer","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",accaanvraag.senzer.nl
,portaaltest.ggdhm.nl,185.180.97.143,"portaaltest.ggdhm.nl,www.portaaltest.ggdhm.nl",2022-11-22T00:00:00,2023-11-22T23:59:59,31477,"DUOCAST-AS, NL",NL,ripencc,2016-12-05,2004-05-26,CN=portaaltest.ggdhm.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",portaaltest.ggdhm.nl
,keten.sophie.oidji.nl,20.82.38.40,keten.sophie.oidji.nl,2022-11-23T08:05:12,2023-11-23T08:00:00,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,"CN=keten.sophie.oidji.nl,O=Ministerie van Justitie en Veiligheid,2.5.4.97=NTRNL-27380834,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=27380834,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",keten.sophie.oidji.nl
,sophie.oidji.nl,20.82.38.40,sophie.oidji.nl,2022-11-23T08:07:06,2023-11-23T08:02:00,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,"CN=sophie.oidji.nl,O=Ministerie van Justitie en Veiligheid,2.5.4.97=NTRNL-27380834,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=27380834,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",sophie.oidji.nl
,www.globalentry-rtp.nl,147.181.15.157,"www.globalentry-rtp.nl,applications.globalentry-rtp.nl,services.globalentry-rtp.nl,idp.globalentry-rtp.nl,admin.globalentry-rtp.nl,stats.globalentry-rtp.nl",2022-11-23T11:45:28,2023-11-23T11:40:00,202553,"DUO-NL-AS, NL",NL,ripencc,1991-07-05,2016-07-26,"CN=www.globalentry-rtp.nl,O=Ministerie van Justitie en Veiligheid,2.5.4.97=NTRNL-27380834,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=27380834,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",www.globalentry-rtp.nl
,emrmdm.ssc-i.nl,159.46.197.171,emrmdm.ssc-i.nl,2022-11-23T13:13:23,2023-11-23T13:08:00,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,"CN=emrmdm.ssc-i.nl,O=Ministerie van Justitie en Veiligheid,2.5.4.97=NTRNL-27380834,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=27380834,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",emrmdm.ssc-i.nl
,preprodid.flevoland.nl,185.63.152.91,preprodid.flevoland.nl,2022-11-24T00:00:00,2023-11-24T23:59:59,12859,"NL-BIT BIT BV, NL",NL,ripencc,2014-07-11,1999-12-15,CN=preprodid.flevoland.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",preprodid.flevoland.nl
,sts.rechtspraak.nl,159.46.196.137,sts.rechtspraak.nl,2022-11-25T08:08:18,2023-11-25T08:03:00,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,"CN=sts.rechtspraak.nl,O=Raad voor de Rechtspraak,2.5.4.97=NTRNL-82945373,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=82945373,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",sts.rechtspraak.nl
,acc-klas.oidji.nl,51.124.42.87,acc-klas.oidji.nl,2022-11-25T09:07:53,2023-11-25T09:02:00,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,ripencc,1993-09-01,1997-03-31,"CN=acc-klas.oidji.nl,O=Ministerie van Justitie en Veiligheid,2.5.4.97=NTRNL-27380834,L='s-Gravenhage,ST=Zuid-Holland,C=NL,2.5.4.5=27380834,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=NL","CN=QuoVadis Qualified Web ICA G2,O=QuoVadis Trustlink B.V.,C=NL",acc-klas.oidji.nl
,edienstenburgerzaken.roerdalen.nl,194.53.75.210,"edienstenburgerzaken-test.roerdalen.nl,edienstenburgerzaken.roerdalen.nl",2022-11-25T11:33:53,2023-11-25T11:33:53,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=edienstenburgerzaken.roerdalen.nl,C=NL,ST=Limburg,L=Sint Odiliënberg,O=Gemeente Roerdalen","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",edienstenburgerzaken.roerdalen.nl
,edienstenburgerzaken-test.roerdalen.nl,194.53.75.166,"edienstenburgerzaken-test.roerdalen.nl,edienstenburgerzaken.roerdalen.nl",2022-11-25T11:33:53,2023-11-25T11:33:53,28878,"SIGNET-AS, NL",NL,ripencc,1993-07-19,2003-03-25,"CN=edienstenburgerzaken.roerdalen.nl,C=NL,ST=Limburg,L=Sint Odiliënberg,O=Gemeente Roerdalen","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",edienstenburgerzaken.roerdalen.nl
,patient-auth.serviceapotheek.nl,20.54.191.168,patient-auth.serviceapotheek.nl,2022-11-29T00:00:00,2023-11-28T23:59:59,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,arin,2017-10-18,1997-03-31,CN=patient-auth.serviceapotheek.nl,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1,O=DigiCert\, Inc.,C=US",patient-auth.serviceapotheek.nl
,www.belastingloket.lingewaard.nl,213.214.121.187,"www.belastingloket.lingewaard.nl,belastingloket.lingewaard.nl",2022-11-28T00:00:00,2023-11-28T23:59:59,8315,"SENTIA, NL",NL,ripencc,2003-03-12,2006-01-05,CN=www.belastingloket.lingewaard.nl,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",www.belastingloket.lingewaard.nl
